Column1,리뷰,날짜,early_access 유무,"src(1= 긍정, 0 = 부정)"
0,"

호랑이는 죽어서 가죽을 남기고 요구르팅은 죽어서 Always를 남겼다",2020-01-04,1,1
1,"
3가지만 생각하지말자
'여기만 넘으면 맥스콤보다'
'내가 어떻게 치고있지?'
'내가 눈을 언제 감았더라?'",2021-02-13,0,1
2,"
이 게임을 두가지를 알려줍니다.
학교다닐때 왜 전교에서 놀던 친구들이 1개를 틀리면 쳐 우는지.
왜 담임 선생님은 평균 떨구는 애들이 있다며 나를 보는지.",2021-01-14,0,1
3,"
'나 리듬게임에 소질 있는거같다' 라고 생각하시는 여러분들은 래더매치를 돌리는 순간 강제로 현실을 받아들이게 됩니다",2020-03-28,0,1
4,"
사람들은 당신이 퍼펙트플레이 한것에 대해 별 관심이 없습니다.
:)",2022-06-06,0,1
5,"
1000시간해도 여전히 뉴비인겜",2020-08-27,0,1
6,"

네오위즈는 이 글을 봐라
Heart of Witch를 다음 업뎃때 추가하지 않는다면 이 게임을 변사체로 만들어버리겠다",2019-12-25,1,1
7,"
손가락이 이끄는대로 치다가 뇌가 의문을 제기하는 순간 망하는거임...",2021-11-07,0,1
8,"
저는 오른팔에 장애가 있어서 한손으로 하는 사람입니다.
남은 한 손도 완전하지가 않죠.
그래서 에어모드만 합니다. 지금까지 곡 클리어? 못해봤죠

그래서 이 게임의 정확한 평가는 내릴 수 없겠습니다만, 일단 '저 같은'경우 노래를 정말 다양하게 들을 수 있어 좋았습니다.

네, 끝입니다. 뭐 이 정도 평가밖에 못 내릴것 같네요
그 동안 더 열심히 해서 곡을 1곡이라도 클리어 하면 다시 평가 해보겠습니다.",2022-01-07,0,1
9,"

""어쩌면 마지막 PC 리듬게임의 희망""
DJMAX Online 초창기때 처음으로 리듬게임을 하게 되었다.
거짓말 같았던 온라인 서비스 종료이후 PSP는 꾸준히 출시한 Potable Series, PC는 Trilogy를 운영하게 되었지만 포터블시리즈는 게임이 가능한 디바이스 PSP의 인기가 떨어지게 되어 자연스레 잊혀져가기 시작했고, 트릴로지는 매우 잦은 업데이트와 USB Play의 장점이 아닌 단점이 드러나는 등 많은 문제 발생으로 유저가 많이 빠져나가 안타깝지만 당연하게 서비스를 종료하게 되었다.
이후 디제이맥스는 tapsonic, ray와 같은 모바일 게임을 출시하였지만 처음에 반짝떳다가 순식간에 인기가 급하락하여 서비스 종료, 콘솔로 노선을 확실하게 바꾼 뒤 DJMAX Respect를 출시하게 되고 이는 대박을 터뜨리게 되었다.

다양한 디바이스를 왕래하던 디제이맥스가 마지막 도전이라봐도 무방했던 플레이스테이션4에서 DJMAX Respect를 확실하게 성공시킨 이후 Respect V로 약 11년 만에 온라인 멀티 PC 리듬게임으로 돌아온 점을 매우 환영하고 감사하게 느낀다.

기존 유명한 한국 게임유통사에서 출시하지않고 스팀으로 출시한 점도 환영하는 입장이다.

무조건 인터넷이 연결되어있어야 실행가능하고 이 조건하에서 온라인 대전이 가능한 PC리듬게임들은 다 서비스를 종료했었는데, 이 이유중 하나는 안타깝게도 현재 리듬게임은 이전처럼 대중게임이자 주류가 아니기 때문이다. 하지만 확실한 매니아층이 구성된 게임 장르임은 분명하기에 글로벌적인 관심을 받아 다양한 피드백과 공유, 인기를 유지하는데는 스팀에 출시하는 것이 가장 현명한 선택이라고 본다.

DJMAX RespectV를 추천하는 이유는 어설픈 부분유료화로 게임하느니 차라리 구매해서 게임하는 것이 플레이하는데도 속 편하고 이상한 목적들을 가지고 접속하는 유저가 생길 확률이 줄어든다는 점과 구매, 계약, 제공 등 확실한 체계로 운영할 것이기에 게임내의 저작권 문제로 얘기 나와 내부 및 외부에 설전을 벌일 일이 적을 것이기 때문이다. 또 많은 시행착오를 겪었고 볼드를 포함한 PC리듬게임을 세 번이나 출시한 디제이맥스이기에 누구보다 단점을 잘 알 것이고 이를 피드백 해줄 유저들이 많다.
다시 PC리듬게임을 활성화 시킬 수 있는 유일한 게임이라 봐도 무방하기에 소제목을 ""어쩌면 마지막 PC리듬게임의 희망""이라는 문장으로 작성하게 되었다.

필자는 리듬게임이 계속 살아나려면 어린유저들의 관심이 많아지고 플레이를 유지시켜야 하기에 게임 내 유저환경도 좋아야 한다고 생각한다. PC, PSP로 리듬게임을 시작한 대부분의 유저들은 어릴때 추억 혹은 향수라 생각하고 피쳐폰 디제이맥스모바일도 기억 할 성인유저가 많을 것인데 이 유저분들께서 신입이 실력장벽이라는 생각이 든다거나 혹은 질리지 않도록 리듬게임을 쉽게 할 수 있고 채팅환경에 적응 할 수 있도록 많은 관심과 도움을 줘야한다고 생각한다.

마지막으로 아직 최적화가 제대로 되지않아 권장사양보다 높은 사양의 컴퓨터를 사용하는 유저들도 힘들게 돌리는 상황이지만 얼리엑세스기간이니 조금 더 기다리고 있다. 분명 최적화가 어느정도 괜찮아 질 때 쯤이면 GeForce, Radeon 양측에서 구동이 잘된다는 글이 속속 보이기 시작할 것이라 보기에 조금만 더 기다려보자. 또 이전에 유명했던 곡 추가와 게임플레이가 더 편해질 수 있도록 기다리고 기대해보자.

- 긴 글 읽어주셔서 감사합니다 -",2019-12-25,1,1
10,"

osu! OFF
DJMAX ON",2019-12-24,1,1
11,"
늙....어서 그런...가... 쉬.....벌... 실력이....안...늘어...",2021-06-19,0,1
